model,Beta_s,gamma_s,Ns_obs,kmean_s,gamma_n,kmean_n,gamma_f,N_f,Beta_bi,nu,alpha,N_labels,with_features,nc_test_size,i,accuracy
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,5,10,1,0.7,4.5,81.495
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,5,2,1,0.7,4.5,88.276
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,5,3,1,0.7,4.5,79.179
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,1.1,0.0,5,6,1,0.7,4.5,85.40799999999999
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,-1,10,1,0.7,4.5,16.491
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,-1,2,1,0.7,4.5,65.09
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,-1,3,1,0.7,4.5,49.925
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,-1,6,1,0.7,4.5,26.113999999999997
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,1,10,1,0.7,4.5,40.756
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,1,2,1,0.7,4.5,64.61800000000001
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,1,3,1,0.7,4.5,55.9
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,1,6,1,0.7,4.5,45.409000000000006
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,10,10,1,0.7,4.5,90.066
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,10,2,1,0.7,4.5,91.896
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,10,3,1,0.7,4.5,90.999
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,10,6,1,0.7,4.5,93.44800000000001
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,5,10,1,0.7,4.5,82.64099999999999
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,5,2,1,0.7,4.5,88.449
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,5,3,1,0.7,4.5,81.951
SGFormer,1.1,2.1,5000,3,3.5,30,2.1,2000,3,0.0,5,6,1,0.7,4.5,81.287
SGFormer,1.1,2.1,5000,3,3.5,30,3.5,2000,1.1,0.0,-1,10,1,0.7,4.5,17.208
SGFormer,1.1,2.1,5000,3,3.5,30,3.5,2000,1.1,0.0,-1,2,1,0.7,4.5,69.676
SGFormer,1.1,2.1,5000,3,3.5,30,3.5,2000,1.1,0.0,-1,3,1,0.7,4.5,49.638
SGFormer,1.1,2.1,5000,3,3.5,30,3.5,2000,1.1,0.0,-1,6,1,0.7,4.5,27.585
SGFormer,1.1,2.1,5000,3,3.5,30,3.5,2000,1.1,0.0,1,10,1,0.7,4.5,39.826
SGFormer,1.1,2.1,5000,3,3.5,30,3.5,2000,1.1,0.0,1,2,1,0.7,4.5,69.751
SGFormer,1.1,2.1,5000,3,3.5,30,3.5,2000,1.1,0.0,1,3,1,0.7,4.5,57.121
